011X                                                 999999999@.                                      X                                                                                                   9999999X                                                 12021022320210222
001ANA CORREIA                                       999999999ANA@                                    RUA DA ANA                                                                                          9999999PORTO                                             12020100620210216
002ANDRE AZEVEDO                                     999999999ANDRE@                                  RUA DO ANDRE                                                                                        9999999PORTO                                             12020100620210216
003BRUNO LOPES                                       999999999BRUNO@                                  RUA DO BRUNO                                                                                        9999999PORTO                                             12020100620210216
004CESAR COSTA                                       999999999CESAR@                                  RUA DO CESAR                                                                                        9999999PORTO                                             12020100620210216
005DIOGO MONGE                                       999999999DIOGO@                                  RUA DO DIOGO                                                                                        9999999PORTO                                             12020100620210216
006DIOGO LIMA                                        999999999DIOGO@                                  RUA DO DIOGO                                                                                        9999999PORTO                                             12020100620210216
007FERNANDO BOTELHO                                  999999999FERNANDO@                               RUA DO FERNANDO                                                                                     9999999PORTO                                             12020100620210216
008JOAO FERNANDES                                    999999999JOAO@                                   RUA DO JOAO                                                                                         9999999PORTO                                             12020100620210216
009JORGE FLORENCIO                                   999999999JORGE@                                  RUA DO JORGE                                                                                        9999999PORTO                                             12020100620210216
010PEDRO RODRIGUES                                   999999999PEDRO@                                  RUA DO PEDRO                                                                                        9999999PORTO                                             12020100620210216
012XX                                                999999999@.                                      X                                                                                                   9999999X                                                 12021022320210222
013XXX                                               999999999@.                                      X                                                                                                   9999999X                                                 12021022220210222
